"","X","admin2codes","month.dep","interview.month","fmp.name","fmp.latitude","fmp.longitude","direction","dep.country","dep.adm1","dep.adm1.pcode","dep.adm2","dep.adm2.pcode","dep.iscamp","dep.camp","dest.country","dest.adm1","dest.adm1.pcode","dest.adm2","dest.adm2.pcode","dest.iscamp","dest.camp","dest.habres","lmt.migration","time.atdep","time.atdest","registered.refugees","return.relocation","forced.displacement","reason","reason.subtype","transport","groups","total.ind","female.04","female.517","female.1859","female.60","male.04","male.517","male.1859","male.60","nationality.first","nationality.second","nationality.third","nationality.first.ind","nationality.second.ind","nationality.third.ind","nationality.ssd.ind","dep.lon","dep.lat","distance_travelled","dep.date","dep.month","rain.dep.month","rain.month.before","rain.two.months.before","rain.sum.2.months","rain.sum.3.months","temp.dep.month","temp.month.before","temp.two.months.before","temp.sum.2.months","temp.sum.3.months","population2021","mig.per.1000000","rel.rain.dep.month","rel.rain.month.before","rel.rain.two.months.before","rel.rain.sum.2.months","rel.rain.sum.3.months","rel.temp.dep.month","rel.temp.month.before","rel.temp.two.months.before","rel.temp.sum.2.months","rel.temp.sum.3.months","conflict_deaths"
"1",1,"SS0101","2019-12-01","2020-01-01","Kerwa",3.711,31.308,"Outgoing","SSD","Central Equatoria","SS01","Juba","SS0101",0,NA,"UGA","Yumbe","UG313","Aringa","UG3131",1,"Kerwa CP",0,0.5,"5+ Years","Unknown",0,0,1,"Conflict Displacement","Insecurity Generalised Violence","Foot",4,37,0,4,6,0,1,5,20,1,"UGA","None","None",37,0,0,8,NA,NA,121118.306812061,18252.7763386376,"2019-12-01",0,48.260000000193,27.9400000001118,48.260000000193,76.2000000003048,21.1,22.1333333333333,28.4333333333333,21.6166666666667,23.8888888888889,509958,72.5549947250558,-11.5628559413636,12.5466484156475,-82.4735205453432,-69.9268721296957,-152.400392675039,-15.2206842857143,-12.582610952381,-4.49523809523807,-13.9016476190476,-10.7661777777778,511
"2",2,"SS0101","2020-01-01","2020-01-01","Elegu",3.57,32.072,"Outgoing","SSD","Central Equatoria","SS01","Juba","SS0101",0.0645161290322581,NA,"UGA","Amuru","UG316","Kilak","UG3161",0.967741935483871,"Elegu CP I",0,0.0967741935483871,"5+ Years","Unknown",0.225806451612903,0,1,"Food Insecurity","Conflict Induced","Taxi Or Car",50,427,36,124,79,7,26,90,51,14,"SSD","None","None",427,0,0,418,NA,NA,143442.459166533,18275.2416730812,"2020-01-01",40.6400000001626,0,48.260000000193,40.6400000001626,88.9000000003556,18.2,20.7666666666667,22.0333333333333,19.4833333333333,20.3333333333333,509958,837.323858043211,39.0903269356171,-11.5628559413636,12.5466484156475,0.983792474283939,13.5304408899315,-19.3565128571429,-15.5540176190476,-12.682610952381,-17.4552652380953,-15.8643804761905,511
"3",3,"SS0101","2020-02-01","2020-02-01","Elegu",3.57,32.072,"Outgoing","SSD","Central Equatoria","SS01","Juba","SS0101",0.116279069767442,NA,"UGA","Amuru","UG316","Kilak","UG3161",0.930232558139535,"Elegu CP I",0,0.255813953488372,"5+ Years","Unknown",0.232558139534884,0,1,"Conflict Displacement","Conflict Induced","Taxi Or Car",80,877,55,263,178,26,46,220,71,18,"SSD","None","None",877,0,0,864,NA,NA,143442.459166533,18306.3320644283,"2020-02-01",0,40.6400000001626,0,40.6400000001626,40.6400000001626,23.4,18.5,20.5333333333333,20.95,20.8111111111111,509958,1719.74946956416,-11.1867745058182,39.0903269356171,-11.5628559413636,27.5274709942535,15.9646150528899,-15.3810714285714,-19.0565128571429,-15.787350952381,-17.2187921428572,-16.7416450793651,511
"4",4,"SS0101","2020-03-01","2020-03-01","Elegu",3.57,32.072,"Outgoing","SSD","Central Equatoria","SS01","Juba","SS0101",0.136363636363636,NA,"UGA","Amuru","UG316","Kilak","UG3161",0.818181818181818,"Elegu CP I",0,0.0454545454545455,"5+ Years","Unknown",0.363636363636364,0,1,"Food Insecurity","Conflict Induced","Taxi Or Car",24,257,8,56,61,13,7,78,32,2,"SSD","None","None",257,0,0,257,NA,NA,143442.459166533,18335.1743687015,"2020-03-01",53.3400000002134,0,40.6400000001626,53.3400000002134,93.9800000003759,24.4333333333333,23.2666666666667,18.2,23.85,21.9666666666667,509958,503.963071468631,27.2738745249407,-11.1867745058182,39.0903269356171,27.9035524297989,66.993879365416,-13.2711752380953,-15.5144047619047,-19.3565128571429,-14.39279,-16.0473642857143,511
"5",5,"SS0101","2020-04-01","2020-04-01","Yei Bus Stop",4.093,30.678,"Internal","SSD","Central Equatoria","SS01","Juba","SS0101",0,NA,"SSD","Central Equatoria","SS01","Yei","SS0106",0,NA,0.666666666666667,0,"5+ Years","Unknown",0,0,1,"Disaster Displacement","Other","Taxi Or Car",5,13,0,2,4,0,5,1,1,0,"SSD","None","None",13,0,0,13,NA,NA,113214.85495543,18366.8678514504,"2020-04-01",66.0400000002642,53.3400000002134,0,119.380000000478,119.380000000478,27.8666666666667,24.4,23.4,26.1333333333333,25.2222222222222,509958,25.4922954439385,-19.6232586242812,27.2738745249407,-11.1867745058182,16.0871000191225,4.90032551330426,-8.40297190476193,-13.3045085714286,-15.3810714285714,-10.8537402380953,-12.3628506349206,511
"6",6,"SS0101","2020-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.500000000762,66.0400000002642,53.3400000002134,256.540000001026,309.880000001239,34.1666666666667,27.8666666666667,24.4,31.0166666666667,28.8111111111111,509958,0,76.387788048035,-19.6232586242812,27.2738745249407,7.65061590065941,34.9244904256001,0.841342380952362,-8.40297190476193,-13.3045085714286,-3.78081476190479,-6.95537936507939,511
"7",7,"SS0101","2020-06-01","2020-06-01","Juba Gabat Port",4.861,31.616,"Internal","SSD","Central Equatoria","SS01","Juba","SS0101",0.666666666666667,NA,"SSD","Unity","SS06","Mayendit","SS1101",0,NA,1,0,"5+ Years","Unknown",0,0,1,"Conflict Displacement","Insecurity Generalised Violence","Boat",3,14,1,2,6,1,1,1,2,0,"SSD","None","None",14,0,0,14,NA,NA,185810.423024199,18424.9938169418,"2020-06-01",5.08000000002032,190.500000000762,66.0400000002642,195.580000000782,261.620000001046,39.9,34.3666666666667,27.8,37.1333333333333,34.0222222222222,509958,27.4532412473184,-96.1600354545247,76.387788048035,-19.6232586242812,56.7645294237537,37.1412707994725,8.0045742857143,1.04134238095236,-8.4696385714286,4.52295833333333,0.192092698412688,511
"8",8,"SS0101","2020-07-01","2020-07-01","Juba Gabat Port",4.861,31.616,"Internal","SSD","Central Equatoria","SS01","Juba","SS0101",1,"UNMISS Juba POC 1","SSD","Unity","SS06","Rubkona","SS0609",0,NA,1,1,"5+ Years","Indefinite",0,0,1,"Conflict Displacement","Personal Insecurity Because Of Generalised Violence (area Unsafe)","Boat",1,5,0,1,1,0,1,0,2,0,"SSD","None","None",5,0,0,5,NA,NA,21748.0948317239,18458.1300762067,"2020-07-01",5.08000000002032,5.08000000002032,190.500000000762,10.1600000000406,200.660000000803,42.4333333333333,39.9,34.3666666666667,41.1666666666667,38.9,509958,9.80472901689943,-135.351880909071,-96.1600354545247,76.387788048035,-19.7722474064897,56.6155406415453,11.507249047619,8.0045742857143,1.04134238095236,9.75591166666666,6.85105523809523,511
"9",9,"SS0101","2020-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.54000000001016,7.62000000003048,2.54000000001016,10.1600000000406,43.1666666666667,42.1666666666667,40.1333333333333,42.6666666666667,41.8222222222222,509958,0,-137.59196,-137.891880909081,-93.6200354545145,-231.511916363595,-325.13195181811,12.277870952381,11.2405823809524,8.23790761904763,11.7592266666667,10.5854536507937,511
"10",10,"SS0101","2020-09-01","2020-09-01","Wau Bus Station (Juba)",4.858,28.023,"Internal","SSD","Central Equatoria","SS01","Juba","SS0101",0.142857142857143,NA,"SSD","Warrap","SS08","Gogrial West","SS0802",0,NA,0.571428571428571,0.285714285714286,"1-7 Days",">1 Year",0.142857142857143,0,1,"Disaster Displacement","Destroyed Home","Bus",7,57,5,12,14,2,3,8,10,3,"SSD","None","None",57,0,0,57,NA,NA,222671.768224176,18516.3937628685,"2020-09-01",589.280000002357,2.54000000001016,2.54000000001016,591.820000002367,594.360000002377,34.7666666666667,43.3333333333333,41.8666666666667,39.05,39.9888888888889,509958,111.773910792654,478.208180002357,-135.05195999999,-137.891880909081,-272.943840909071,-410.835721818152,2.43239523809527,12.4445376190476,10.9405823809524,7.43846642857145,8.60583841269842,511
